Region,County
Capital Region,Albany
Capital Region,Columbia
Capital Region,Fulton
Capital Region,Greene
Capital Region,Montgomery
Capital Region,Rensselaer
Capital Region,Saratoga
Capital Region,Schenectady
Capital Region,Schoharie
Capital Region,Warren
Capital Region,Washington
Eastern Adirondacks,Franklin
Eastern Adirondacks,Clinton
Eastern Adirondacks,Essex
Eastern Adirondacks,Hamilton
Western Adirondacks,Herkimer
Western Adirondacks,Jefferson
Western Adirondacks,Lewis
Western Adirondacks,Oneida
Western Adirondacks,Oswego
Western Adirondacks,St. Lawrence
Central New York,Broome
Central New York,Cayuga
Central New York,Chenango
Central New York,Cortland
Central New York,Madison
Central New York,Onondaga
Central New York,Otsego
Central New York,Tioga
Central New York,Tompkins
Finger Lakes,Chemung
Finger Lakes,Genesee
Finger Lakes,Livingston
Finger Lakes,Monroe
Finger Lakes,Ontario
Finger Lakes,Schuyler
Finger Lakes,Seneca
Finger Lakes,Steuben
Finger Lakes,Wayne
Finger Lakes,Yates
Western New York,Allegany
Western New York,Cattaraugus
Western New York,Chautauqua
Western New York,Erie
Western New York,Niagara
Western New York,Orleans
Western New York,Wyoming
Hudson Valley,Delaware
Hudson Valley,Dutchess
Hudson Valley,Orange
Hudson Valley,Putnam
Hudson Valley,Sullivan
Hudson Valley,Ulster
White Plains,Rockland
White Plains,Westchester
Long Island,Nassau
Long Island,Suffolk
New York City,Bronx
New York City,Kings
New York City,New York
New York City,Richmond
New York City,Queens
